City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Montepuez,MZ,-13.1256,38.9997,68.94,97,100,2.35,overcast clouds
314,Laguna,US,38.421,-121.4238,69.8,18,1,12.66,clear sky
315,Sorland,NO,67.667,12.6934,38.89,83,100,16.15,overcast clouds
316,Nemuro,JP,43.3236,145.575,30.78,76,0,8.03,clear sky
317,Kalamazoo,US,42.2506,-85.55,44.6,29,1,18.41,clear sky
318,Bom Jesus,BR,-9.0744,-44.3586,74.34,91,100,1.36,overcast clouds
319,Hilton Head Island,US,32.2163,-80.7526,69.8,64,1,6.91,clear sky
320,Richards Bay,ZA,-28.783,32.0377,72.28,95,3,6.38,clear sky
321,Ribeira Grande,PT,38.5167,-28.7,60.06,82,100,16.46,overcast clouds
322,Thompson,CA,55.7435,-97.8558,24.8,50,40,10.36,scattered clouds
323,Cairns,AU,-16.9167,145.7667,80.6,74,86,9.22,overcast clouds
324,Dudinka,RU,69.4058,86.1778,-8.25,96,100,28.32,snow
325,Blackwater,AU,-23.5833,148.8833,78.91,68,9,8.43,clear sky
326,Colares,PT,38.7992,-9.4469,54.0,76,94,15.01,overcast clouds
327,Gallipoli,TR,40.4103,26.6708,37.4,87,0,4.61,clear sky
328,Burriana,ES,39.889,-0.085,53.01,86,6,5.26,clear sky
329,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.87,78,2,9.1,clear sky
330,Dunda,TZ,-8.1167,34.25,62.89,89,97,1.52,overcast clouds
331,Gondar,ET,12.6,37.4667,63.88,30,0,5.3,clear sky
332,Voyvozh,RU,62.892,54.9635,8.92,92,87,9.55,overcast clouds
333,Jiblah,YE,13.9216,44.1467,61.03,46,1,2.53,clear sky
334,Faanui,PF,-16.4833,-151.75,82.96,65,46,3.31,scattered clouds
335,Sarangani,PH,5.4033,125.4636,81.28,77,76,4.29,broken clouds
336,Coihaique,CL,-45.5752,-72.0662,66.2,42,0,6.91,clear sky
337,Lagos,NG,6.5833,3.75,84.2,79,40,6.91,scattered clouds
338,Tema,GH,5.667,-0.0166,80.6,78,40,8.05,light rain
339,Itacare,BR,-14.2775,-38.9967,80.6,74,0,9.22,clear sky
340,Dingle,PH,10.9995,122.6711,76.05,93,100,7.45,moderate rain
341,Brigantine,US,39.4101,-74.3646,66.2,39,1,13.8,clear sky
342,Ponta Delgada,PT,37.7333,-25.6667,57.2,94,75,6.91,broken clouds
343,Lata,PT,40.1629,-8.3327,53.01,84,44,2.35,scattered clouds
344,Ponferrada,ES,42.5466,-6.5962,46.0,67,43,5.23,scattered clouds
